Official Name,Date,Payee,Purpose,Amount,Is Estimate
Commissioner Williams,2025-01-15,Portland City Grill,Lunch meeting to discuss housing policy,125.00,FALSE
Commissioner Smith,2025-02-20,Starbucks,Coffee meeting regarding transportation initiatives,18.50,FALSE
Chair Johnson,2025-03-10,Jake's Famous Crawfish,Dinner meeting about environmental regulations,185.75,FALSE
Commissioner Lee,2025-03-22,Whole Foods,Catering for community engagement event,95.00,TRUE
Commissioner Davis,2025-04-05,McMenamins,Happy hour discussion on zoning changes,67.80,FALSE
Chair Rodriguez,2025-04-18,Mother's Bistro,Breakfast meeting about budget priorities,42.50,FALSE
Commissioner Chen,2025-05-12,Ristretto Roasters,Coffee meeting on public safety,15.25,FALSE
Commissioner Brown,2025-06-08,Pok Pok,Working lunch about economic development,156.00,FALSE
Chair Martinez,2025-07-20,Salt & Straw,Ice cream social for community outreach,85.00,TRUE
Commissioner Anderson,2025-08-14,Olympia Provisions,Dinner meeting on healthcare access,210.50,FALSE
